municipio_id,year,urbana,rustica,bice_grupo_a,bice_grupo_b,bice_grupo_c,bice_grupo_d
5019,2006,0.55,0.44,0.6,0.6,0.6,0.6
5021,2006,0.55,0.56,0.6,0.6,0.6,0.6
5022,2006,0.4,0.65,0.6,1.3,0.6,0.6
5023,2006,0.55,0.7,0.6,0.6,0.6,0.6
5024,2006,0.41,0.31,0.6,0.6,0.6,0.6
5025,2006,0.6,0.5,0.6,0.6,0.6,0.6
5026,2006,0.7,0.75,0.6,0.6,0.6,0.6
5027,2006,0.5,0.65,0.6,0.6,0.6,0.6
5029,2006,0.43,0.48,0.6,0.6,0.6,0.6
5030,2006,0.5,0.5,0.6,0.6,0.6,0.6
5033,2006,0.4,0.3,0.6,0.6,0.6,0.6
5034,2006,0.4,0.65,0.6,0.6,0.6,0.6
5035,2006,0.5,0.4,0.6,0.6,0.6,0.6
5036,2006,0.4,0.65,0.6,0.6,0.6,0.6
5037,2006,0.4,0.4,0.6,0.6,0.6,0.6
5038,2006,0.45,0.4,0.6,0.6,0.6,0.6
5039,2006,0.4,0.65,0.6,0.6,0.6,0.6
5040,2006,0.4,0.6,0.6,0.6,0.6,0.6
5041,2006,0.56,0.3,0.6,0.6,0.6,0.6
5042,2006,0.65,0.65,0.6,0.6,0.6,0.6
5043,2006,0.495,0.62,0.6,0.6,0.6,0.6
5044,2006,0.5,0.65,0.6,0.6,0.6,0.6
5045,2006,0.65,0.65,0.6,0.6,0.6,0.6
5046,2006,0.5,0.67,0.6,0.6,0.6,0.6
5047,2006,0.5,0.9,0.6,1,0.6,0.6
5048,2006,0.45,0.4,0.6,0.6,0.6,0.6
5049,2006,0.5,0.5,0.6,0.6,0.6,0.6
5051,2006,0.4,0.65,0.6,0.6,0.6,0.6
5052,2006,0.53,0.65,0.6,0.6,0.6,0.6
5053,2006,0.6,0.5,0.6,0.6,0.6,0.6
5054,2006,0.4,0.3,0.6,0.4,0.6,0.6
5055,2006,0.5,0.6,0.6,0.6,0.6,0.6
5056,2006,0.4,0.65,0.6,0.6,0.6,0.6
